,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,1,43103015,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4
1,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2,33580067,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,4
2,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,3,31189177,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
3,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,4,28130862,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,193227,4
4,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,5,25833463,0.833,0.539,11,-7.399,0,0.178,0.163,2.10E-06,0.101,0.385,99.947,149520,4
5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,7dbka99KTWke5o9hRp0JoB,6,24843852,0.761,0.479,2,-5.574,1,0.0466,0.552,0,0.0704,0.912,89.913,158040,4
6,Billie Eilish,bury a friend,4NzMOnvSJVNKF7nw5NkXIP,7,21867069,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
7,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,8,21552414,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320,4
8,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,9,20863476,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
9,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,10,20808176,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,171030,4
10,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,11,20081601,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,201661,4
11,Pedro CapÃ³,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,12,20006012,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4
12,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,13,19780582,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
13,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,14,19453080,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4
14,Anuel AA,Secreto,5W83ErFkO3aKAIS1WMi6u0,15,19256497,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
15,Ozuna,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,16,16997583,0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,4
16,Khalid,Talk,0rTV5WefWd1J3OwIheTzxM,17,16261230,0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,197487,4
17,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,18,15919714,0.842,0.801,8,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,212500,4
18,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,19,15570596,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,4
19,Juice WRLD,Robbery,44ShclXTOOnYtt5CnCDeGV,20,15513136,0.708,0.691,2,-5.179,1,0.0442,0.342,0,0.222,0.535,79.99,240527,4
20,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,21,15421127,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
21,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,22,14885880,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
22,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,23,14724717,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06E-06,0.11,0.74,115.007,268434,4
