,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,1,47227738,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4
1,Tones And I,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,2,46086874,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
2,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,3,31572344,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
3,Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,4,31273064,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4
4,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,5,30555030,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
5,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,6,29392489,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
6,Shawn Mendes,Señorita,6v3KW9xbzN5yKLt9YKDYA2,7,26364020,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,4
7,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,8,24962682,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
8,Selena Gomez,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,9,21790923,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,5
9,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,10,20814917,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
10,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,11,18576307,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
11,Kanye West,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,12,17782756,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,4
12,Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,13,17770785,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
13,Kanye West,On God,2SasoXZyv82yYgHiVOvxQn,14,17704688,0.41,0.886,9,-4.413,0,0.155,0.0671,0.0,0.461,0.393,72.577,136351,4
14,Harry Styles,Lights Up,2plLJpUcYPFrl1sW2pMG63,15,17687233,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4
15,Kanye West,Selah,39JRmdKFka1Oe09FoOCPI4,16,17475888,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076,164620,3
16,Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,17,17371573,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4
17,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,18,17160288,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
18,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,19,16845661,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
19,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,20,16691570,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
20,Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,21,16602393,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
21,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,22,16503228,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
22,Kanye West,Everything We Need,24bnCCysWnbNRNUT4LpHcP,23,16438027,0.894,0.416,9,-6.823,0,0.0538,0.312,0.0,0.146,0.463,116.96,116560,4
23,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,24,16028259,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
24,Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,25,14843190,0.611,0.459,0,-3.926,0,0.0422,0.614,0.0,0.126,0.177,148.28,213878,4
25,Post Malone,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,26,14334322,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,4
26,Ed Sheeran,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,27,14068267,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
27,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,28,13920735,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
28,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,29,13428160,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467,4
29,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,30,13242148,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
30,Kanye West,Every Hour,1WnqWQcWcuQbVzgE7ecfCY,31,12900186,0.588,0.793,7,-6.23,1,0.0794,0.466,0.000647,0.913,0.694,76.997,112239,5
31,SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,32,12849376,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280,4
32,Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,33,12795057,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
33,Kanye West,God Is,6xRWoYwfwIKnT8bQGzKbxR,34,12735722,0.656,0.637,1,-3.867,1,0.0256,0.34,0.0,0.187,0.267,105.037,203141,4
