,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tones And I,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,47797217,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
1,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,2,45828931,0.335,0.625,7,-7.462,1,0.0386,0.164,0.0,0.0708,0.346,150.277,241107,4
2,Wham!,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,3,37725693,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4
3,Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,4,32309199,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
4,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,5,27506141,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093,4
5,KAROL G,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,26024449,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
6,Michael Bublé,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,7,25997383,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,206640,3
7,Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,8,25122335,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
8,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,9,25107372,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
9,Bobby Helms,Jingle Bell Rock,3hBXvHLlTHvnbwrPbeoyAj,10,24951120,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,130973,4
10,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,11,24401078,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4
11,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,12,24335324,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
12,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,13,23474622,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
13,Andy Williams,It's the Most Wonderful Time of the Year,1IcR6RlgvDczfvoWJSSY2A,14,23412959,0.234,0.526,2,-11.656,1,0.0411,0.871,2.34e-06,0.122,0.649,201.739,151000,3
14,The Weeknd,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,15,21948697,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
15,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,16,21586527,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
16,John Lennon,Happy Xmas (War Is Over) - Remastered,3zJw3rugfpVrmBeDDnUYzy,17,21367029,0.328,0.607,2,-11.076,1,0.0315,0.319,0.0,0.765,0.395,146.539,213880,3
17,Shawn Mendes,Señorita,6v3KW9xbzN5yKLt9YKDYA2,18,20975710,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,4
18,Justin Bieber,Mistletoe,7xapw9Oy21WpfEcib2ErSA,19,20802468,0.658,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.994,182947,4
19,Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,20,20797049,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
20,José Feliciano,Feliz Navidad,7taXf5odg9xCAZERYfyOkS,21,20300178,0.485,0.857,2,-7.059,1,0.0442,0.534,0.0,0.347,0.963,148.749,182360,4
21,Band Aid,Do They Know It's Christmas? - 1984 Version,0247StOpd3AkeBQzANX4Zf,22,20283495,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,222533,4
22,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),4kKdvXD0ez7jp1296JmAts,23,19911738,0.653,0.259,2,-13.336,1,0.0595,0.903,0.0,0.362,0.835,142.157,155453,4
