,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Shawn Mendes,Se̱orita,0TK2YIli7K1leLovkQiNik,1,63045599,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
1,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2,37834490,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
2,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,3,35768190,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
3,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,4,32722266,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
4,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,5,25117868,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
5,Taylor Swift,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,6,24278392,0.769,0.678,2,-5.604,1,0.0507,0.00838,0.0,0.0596,0.706,85.025,171387,4
6,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,7,24238981,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,4
7,Sech,Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,8,23617149,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,225933,4
8,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,9,22266103,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
9,Katy Perry,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,10,19261920,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523,4
10,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,11,19195647,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,190800,4
11,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,12,18899230,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
12,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,13,17985888,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.8,92.016,266087,4
13,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,14,17259949,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
14,Lil Nas X,Old Town Road,53CJANUxooaqGOtdsBTh7O,15,16719515,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,113013,4
15,Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD,16,16544568,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027,4
16,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,17,16443029,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
17,MEDUZA,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,18,15451112,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
18,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,19,15154394,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805,4
19,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,20,14995599,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,200107,4
20,Chris Brown,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,21,14816185,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4
21,Avicii,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,22,14513004,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,157202,4
22,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,23,14429550,0.746,0.787,4,-6.373,1,0.12,0.214,0.0,0.0669,0.607,95.005,206187,4
23,The Chainsmokers,Call You Mine,05CwHjIk71RXVU40boRMnR,24,14382395,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
24,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,25,13540799,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
25,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,26,13247134,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
26,Lil Nas X,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,27,13086179,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,158707,4
27,Capital Bra,Tilidin,1VEMUkGFio5uURvN8x1DZJ,28,13026753,0.631,0.673,6,-4.892,0,0.384,0.407,0.0,0.154,0.721,83.504,172036,4
28,Lil Tecca,Ransom,1kBbgxAUc4HQv7cgIayIDH,29,12966653,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131280,4
