,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),40OMBMYRk5IQL6xCzGM0JA,33,12105088,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805,4
33,Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD,34,12003832,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027,4
34,Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,35,11885029,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,181824,4
35,The Chainsmokers,Call You Mine,05CwHjIk71RXVU40boRMnR,36,11557238,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
36,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,37,11498117,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
37,Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,38,11497837,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,4
38,Maluma,23:00:00,7KbF6AdprOXEEHlsq11Z6d,39,11397919,0.777,0.712,10,-4.84,1,0.277,0.217,0.0,0.091,0.68,95.692,175733,4
39,Lil Nas X,Old Town Road,53CJANUxooaqGOtdsBTh7O,40,11144701,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,113013,4
40,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,41,11105172,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,200107,4
41,ROSALÍA,Con Altura,2qG5sZ7Si6sdK74qLxedYM,42,10634250,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,4
42,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,43,10538290,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
43,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),0AtP8EkGPn6SwxKDaUuXec,44,10474036,0.852,0.666,11,-6.923,0,0.184,0.135,0.0,0.798,0.726,91.046,207760,4
44,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,45,10399937,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4
45,Nicky Jam,Te Robaré,6v0lAdFF4haL8xjBIUjtOw,46,10220237,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,201818,4
46,Pedro Capó,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,47,9980018,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,4
47,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,48,9799641,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4
48,Avicii,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,49,9773185,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,157202,4
49,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,50,9640741,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
