,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,1,31265664,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4
1,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,2,31111446,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,193227,4
2,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,3,26364572,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181040,4
3,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,4,24346526,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
4,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,5,23068875,0.833,0.539,11,-7.399,0,0.178,0.163,2.10E-06,0.101,0.385,99.947,149520,4
5,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,6,22925480,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
6,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,7,21350116,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,4
7,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,8,18422872,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,171030,4
8,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,9,17465853,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
9,Pedro CapÃ³,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,10,17353582,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4
10,Mabel,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,11,16640130,0.674,0.881,9,-2.853,1,0.147,0.296,3.01E-06,0.0793,0.234,98.994,178480,4
11,Ozuna,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,12,16532007,0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,4
