,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tones And I,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,44289739,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
1,Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,2,31871446,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
2,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,3,30455759,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
3,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,4,29678784,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
4,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,5,26933519,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
5,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,6,25433949,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
6,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,7,23657267,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4
7,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,8,22689327,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
8,Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,9,22608922,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
9,Bad Bunny,Vete,5DxXgozhkPLgrbKFY91w0c,10,21654855,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,4
10,Shawn Mendes,Señorita,6v3KW9xbzN5yKLt9YKDYA2,11,21352414,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,4
11,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,12,20952367,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
12,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,13,19276746,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
13,KAROL G,Tusa,7k4t7uLgtOxPwTpFmtJNTY,14,17995065,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
14,Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,15,17357222,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
15,Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,16,16893387,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4
16,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,17,15830788,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
17,Harry Styles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,18,15727628,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
18,Lewis Capaldi,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,19,15653077,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
19,Harry Styles,Lights Up,5aJEh9Oqdz7PRLKTpH25pB,20,14194965,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,172213,4
20,Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,21,14045402,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
21,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,22,13973572,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
22,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,23,13406524,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
23,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,24,12736327,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
24,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,25,12612693,0.335,0.625,7,-7.462,1,0.0386,0.164,0.0,0.0708,0.346,150.277,241107,4
25,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,26,12303783,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467,4
26,SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,27,12284534,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280,4
27,Rauw Alejandro,Fantasias,6mAN61JH0dzyZpWslS11jy,28,11965068,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,199711,4
28,The Weeknd,Heartless,57vxBYXtHMk6H1aD29V7PU,29,11907510,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080,4
29,Ed Sheeran,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,30,11881211,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
30,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,31,11866765,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
31,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,32,11664694,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
32,Daddy Yankee,Que Tire Pa Lante,6RyaV7owmVU6fzEPE17sF1,33,11634420,0.658,0.901,7,-2.814,1,0.0357,0.0478,0.0,0.12,0.708,93.979,210520,4
33,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,34,11442050,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
34,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,35,11378132,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
35,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),07s9NNOT0sZQp7TyolLLgu,36,11310793,0.817,0.781,7,-4.178,0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707,4
36,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,37,11241441,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
37,MEDUZA,Lose Control,7CHi4DtfK4heMlQaudCuHK,38,11136009,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387,4
38,Post Malone,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,39,11040398,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,4
39,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,40,10814213,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
40,Tainy,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,41,10570573,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,270741,4
41,DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,42,10451998,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,4
42,Jhay Cortez,No Me Conoce - Remix,4R8BJggjosTswLxtkw8V7P,43,10301589,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120,4
