,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
19,19,0.0521,Kodak Black,0.861,228760,0.603,1,0,8,0.0924,-5.788,0,20,0.176,14233536,98.043,4,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),0.504
20,20,0.016,Calvin Harris,0.807,229184,0.887,1,0.000503,1,0.0811,-4.311,0,21,0.0361,14154951,122.015,4,5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),0.606
21,21,0.407,A Boogie Wit da Hoodie,0.791,179449,0.587,1,0,3,0.148,-5.075,0,22,0.0413,13829070,96.057,4,3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,0.536
22,22,0.00987,Mark Ronson,0.601,217467,0.794,1,1.36E-06,7,0.388,-5.844,0,23,0.0671,13286666,114.066,4,27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.244
23,23,0.0852,Lil Baby,0.897,145543,0.662,1,0,1,0.534,-6.903,0,24,0.292,13099161,112.511,4,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),0.389
24,24,0.549,benny blanco,0.632,170770,0.686,1,0,6,0.2,-7.665,0,25,0.243,13040261,89.949,4,7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),0.329
25,25,0.979,Billie Eilish,0.498,199931,0.104,1,7.86E-05,1,0.0895,-14.08,0,26,0.0621,12670105,124.001,3,14JzyD6FlBD5z0wV5P07YI,when the party's over,0.205
26,26,0.0361,Ozuna,0.816,158400,0.754,1,0,11,0.217,-2.75,0,27,0.111,12579930,99.966,4,7uH27oIt4a6cIFCA8ZPcyG,Baila Baila Baila,0.533
27,27,0.194,Sheck Wes,0.729,183907,0.625,1,0.00986,4,0.248,-5.266,1,28,0.0315,12539927,146.034,4,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,0.261
28,28,0.0863,Gesaffelstein,0.663,202093,0.675,1,0.00133,2,0.117,-12.159,1,29,0.0359,12492860,101.004,4,7wFybC8jBH3zE139OpCtpG,Lost in the Fire,0.176
29,29,0.0969,Ellie Goulding,0.574,182623,0.758,1,0,1,0.395,-5.029,0,30,0.0621,12481517,144.111,4,5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),0.492
30,30,0.00579,Dua Lipa,0.588,182075,0.821,1,0.000275,5,0.208,-6.54,0,31,0.216,12007264,188.098,4,5600nq7TiBraBX2jobyJ3l,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",0.509
31,31,0.331,Post Malone,0.68,231267,0.578,1,0,10,0.135,-5.804,1,32,0.04,11976581,145.038,4,7dt6x5M1jzdTEt8oCbisTK,Better Now,0.341
32,32,0.258,XXXTENTACION,0.74,166606,0.613,1,0.00372,8,0.123,-4.88,1,33,0.145,11847064,75.023,4,3ee8Jmje8o58CHK66QrVC2,SAD!,0.473
33,33,0.176,Lauv,0.599,162583,0.733,1,0,11,0.242,-7.058,1,34,0.203,11833551,102.211,4,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,0.534
