,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Shawn Mendes,Señorita,6v3KW9xbzN5yKLt9YKDYA2,1,46917158,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,4
1,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,2,29990567,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
2,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,3,29346900,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
3,Lil Tecca,Ransom,1kBbgxAUc4HQv7cgIayIDH,4,25273589,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131280,4
4,Post Malone,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,5,24022111,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,4
5,Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,6,23189627,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
6,Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,7,22211263,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4
7,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,8,22193460,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
8,Ed Sheeran,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,9,21294584,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
9,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,10,20617185,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
10,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,11,19672749,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,4
11,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,12,19536821,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
12,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,13,19223204,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
13,Tones And I,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,14,19008751,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
14,Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,15,18751171,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,186107,4
15,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,16,18620281,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
16,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,17,18295478,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4
17,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,18,18071496,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
18,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,19,17609137,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
19,Taylor Swift,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,20,17291991,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4
20,J Balvin,LA CANCI√ìN,0fea68AdmYNygeTGI4RC18,21,15922336,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
