,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Shawn Mendes,Señorita,6v3KW9xbzN5yKLt9YKDYA2,1,38036625,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,4
1,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,2,31127024,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
2,Tones And I,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,3,30982039,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
3,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,4,23451885,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
4,Lil Tecca,Ransom,6EOKwHETwSkZ9gW2b6ASE0,5,22431808,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
5,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,6,22367819,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
6,Post Malone,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,7,22087615,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,4
7,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,8,21869235,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
8,Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,9,21197915,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
9,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,10,20426656,0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51e-06,0.0898,0.317,102.914,190107,4
10,Post Malone,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,11,19100378,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,150867,4
11,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,12,19076265,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
12,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,13,18972964,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
