,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Ariana Grande,7 rings,14msK75pk3pA33pzPVNtBF,1,59324475,0.725,0.321,1,-10.744,0,0.323,0.578,0.0,0.0884,0.319,70.142,178640,4
1,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2,33187464,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
2,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,3,31802899,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
3,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,4,31030529,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
4,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,5,26472621,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
5,Ariana Grande,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,6,24236734,0.724,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,0.435,106.96,207333,4
6,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,7,23144963,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
7,Pedro CapÃ³,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,8,23096433,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,4
8,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,9,21482255,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,187436,4
9,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,10,20046891,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
10,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,11,19080557,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
11,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,12,18467720,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
12,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,13,17751164,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
13,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,14,17316775,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4
14,Paulo Londra,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,15,17307647,0.767,0.709,1,-4.47,1,0.336,0.323,0.0,0.0676,0.72,171.993,258639,4
15,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,16,17225374,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
16,Anuel AA,Secreto,5W83ErFkO3aKAIS1WMi6u0,17,17147855,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
17,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,18,16692985,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4
18,Khalid,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,19,14310195,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667,4
