,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,33,11980172,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
33,Pedro CapÃ³,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,34,11974425,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,4
34,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,35,11933868,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
35,DJ Luian,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,36,11930133,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,267500,4
36,Nicky Jam,Te RobarÃ©,6v0lAdFF4haL8xjBIUjtOw,37,11726135,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,201818,4
37,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,38,11367770,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
38,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,39,11331297,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
39,BTS,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,40,11283318,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4
40,Maluma,HP,1LIqNVhaIgxXUt2eVoIQJ3,41,11153969,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4
41,ROSALÃA,Con Altura,2qG5sZ7Si6sdK74qLxedYM,42,11140633,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,4
42,Kygo,"Carry On (from the Original Motion Picture ""POKÃ‰MON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,43,10941345,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316,4
43,Joyner Lucas,Isis,36TO60sxDduIsO3xH8IcUh,44,10813990,0.918,0.837,1,-6.792,1,0.255,0.234,0.0,0.227,0.855,120.017,236000,4
44,Polo G,Pop Out (feat. Lil Tjay),5AjINjwKyRvQJhSe2zpPHi,45,10604382,0.861,0.621,1,-7.106,1,0.362,0.121,0.0,0.0689,0.254,83.976,166640,4
45,Bazzi,Paradise,7njKgVl3AnLflRad38o7AG,46,10568393,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4
46,ZAYN,"A Whole New World (End Title) - From ""Aladdin""",1iWHabUgUuuKLBa0TzTHfk,47,10541734,0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508,242956,4
47,Logic,Homicide (feat. Eminem),2MuMD298IpYqKF367wegUd,48,10469944,0.694,0.759,10,-5.667,0,0.398,0.137,0.0,0.167,0.77,140.055,245387,4
48,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,49,10188398,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4
49,Ava Max,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,50,9995114,0.682,0.656,6,-4.67,1,0.0435,0.0737,0.0,0.353,0.607,130.089,183027,4
