,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,1,40259374,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
1,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,2,33975090,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
2,Lil Nas X,Old Town Road,53CJANUxooaqGOtdsBTh7O,3,27568885,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,113013,4
3,Avicii,SOS,6nDKrPlXdpomGBgAlO7UdP,4,23812662,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,157202,4
4,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,5,23516741,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
5,BTS,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,6,22447659,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4
6,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,7,21780435,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
7,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,8,21353515,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
8,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,9,20841115,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040,4
9,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,10,18389998,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4
10,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,11,17977340,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
11,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,12,17132925,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
12,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,13,16652654,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
13,Mabel,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,14,16424414,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,4
14,BLACKPINK,Kill This Love,4pUCKHjJ4Ijewc37rRrvHn,15,15752290,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052,4
15,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,16,14565136,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4
16,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,17,14415207,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
17,Marshmello,Here With Me,5icOoE6VgqFKohjWWNp0Ac,18,14251208,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347,4
18,Dalex,Pa MÃ­ - Remix,224EVTFiLsdQignUFLvDeH,19,14169080,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4
19,Maluma,HP,31UjYv5vLsDkzchJOtUMtW,20,14057648,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4
20,Pedro CapÃ³,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,21,14043479,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,4
21,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,22,14027830,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,187436,4
22,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,23,13438804,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
23,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,24,12960745,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
24,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,25,12617837,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,189487,4
25,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,26,12419881,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
26,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,27,12411629,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,162583,4
27,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,28,12324368,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,169354,4
28,Ozuna,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,29,12306390,0.816,0.754,11,-2.75,0,0.111,0.0361,0.0,0.217,0.533,99.966,158400,4
29,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,30,12182413,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440,4
30,SZA,Power is Power,35RDmXJ59YYGNlv1KfTGsP,31,12087846,0.507,0.644,4,-7.485,1,0.0641,0.00413,0.0,0.217,0.172,179.913,211267,4
31,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,32,12086957,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
32,DJ Luian,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,33,11856127,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,267500,4
33,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,34,11676493,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
