Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
1,6zeeWid2sgw4lap2jV61PZ,43,0.0765,0.596,229320,0.552,0.334000,0,0.104,-10.278,0,0.097,4,0.112,97.949
1,0JP9xo3adEtGSdUEISiszL,44,0.556,0.921,135090,0.537,0.004040,9,0.102,-5.723,0,0.0804,4,0.711,128.009
1,14mHfNsSHN0FbLftyjrV9g,45,0.107,0.792,195637,0.743,0.000000,7,0.183,-2.806,1,0.0851,4,0.742,150.024
1,2G1tXoGBaEMJ7FKGnkf6ud,46,0.00381,0.8,203161,0.578,0.000000,4,0.367,-5.144,0,0.0485,4,0.367,143.01
1,2LskIZrCeLxRvCiGP8gxlh,47,0.0302,0.703,198903,0.723,0.000002,9,0.126,-5.45,0,0.0412,4,0.288,104.969
1,2t8yVaLvJ0RenpXUIAC52d,48,0.0395,0.837,288624,0.636,0.001250,1,0.342,-7.643,1,0.086,4,0.274,145.972
1,0E9ZjEAyAwOXZ7wJC0PD33,49,0.176,0.694,184560,0.77,0.000011,6,0.118,-5.335,1,0.149,4,0.163,125.905
1,1LiN0Z98FkR1t0m8KmLcAH,50,0.437,0.79,190005,0.631,0.000000,8,0.158,-5.549,0,0.0425,4,0.889,94.039
2,6ocbgoVGwYJhOv1GgI9NsF,1,0.592,0.778,178627,0.317,0.000000,1,0.0881,-10.732,0,0.334,4,0.327,140.048
2,4kV4N9D1iKVxx1KLvtTpjS,2,0.0421,0.726,190440,0.554,0.000000,5,0.106,-5.29,0,0.0917,4,0.335,169.999
2,2VxeLyX666F8uXCJ0dZF8B,3,0.371,0.572,215733,0.385,0.000000,7,0.231,-6.362,1,0.0308,4,0.323,95.799
2,5w9c2J52mkdntKOmRLeM2m,4,0.11,0.737,193227,0.86,0.000002,8,0.0574,-2.652,0,0.0593,4,0.656,93.989
2,6MWtB6iiXyIwun0YzU6DFP,5,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
2,7dbka99KTWke5o9hRp0JoB,6,0.552,0.761,158040,0.479,0.000000,2,0.0704,-5.574,1,0.0466,4,0.912,89.913
2,4NzMOnvSJVNKF7nw5NkXIP,7,0.74,0.905,193143,0.389,0.162000,8,0.106,-14.505,1,0.332,4,0.196,120.046
2,3e9HZxeyfWwjeyPAMmWSSQ,8,0.229,0.717,207320,0.653,0.000000,1,0.101,-5.634,1,0.0658,4,0.412,106.966
2,2dpaYNEQHiRxtZbfNsse99,9,0.191,0.687,214290,0.792,0.000000,5,0.167,-2.749,1,0.0452,4,0.671,100.015
2,6Qs4SXO9dwPj5GKvVOv8Ki,10,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
2,5p7ujcrUXASCNwRaWNHR1C,11,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
2,5iwz1NiezX7WWjnCgY5TH4,12,0.323,0.826,238200,0.773,0.000000,11,0.143,-4.218,0,0.0524,4,0.761,126.899
2,25sgk305KZfyuqVBQIahim,13,0.0691,0.719,187436,0.704,0.000000,1,0.166,-4.724,1,0.0476,4,0.628,133.002
2,2JvzF1RMd7lE3KmFlsyZD8,14,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
2,5W83ErFkO3aKAIS1WMi6u0,15,0.602,0.807,258800,0.803,0.008530,11,0.136,-4.156,1,0.126,4,0.706,91.987
2,7uH27oIt4a6cIFCA8ZPcyG,16,0.0361,0.816,158400,0.754,0.000000,11,0.217,-2.75,0,0.111,4,0.533,99.966
2,0rTV5WefWd1J3OwIheTzxM,17,0.0501,0.9,197487,0.4,0.000000,0,0.0876,-8.443,1,0.124,4,0.338,136.001
2,4w8niZpiMy6qz1mntFA5uM,18,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
2,7COXchtUOMd6uIT6HvmRaI,19,0.176,0.599,162583,0.733,0.000000,11,0.242,-7.058,1,0.203,4,0.534,102.211
2,44ShclXTOOnYtt5CnCDeGV,20,0.342,0.708,240527,0.691,0.000000,2,0.222,-5.179,1,0.0442,4,0.535,79.99
